id,price
0,2904.77
1,5378.36
2,9368.41
3,3985.02
4,1706.75
5,6301.41
6,4677.05
7,4479.64
8,5174.53
9,16319.7
10,4301.77
11,893.12
12,3223.07
13,1600.45
14,2420.09
15,1166.23
16,1485.38
17,4111.62
18,4198.77
19,881.73
20,2198.61
21,5272.52
22,4144.31
23,603.86
24,15508.88
25,1052.42
26,623.02
27,980.07
28,1622.12
29,929.1
30,10649.34
31,586.82
32,4037.54
33,724.62
34,616.36
35,2295.53
36,6628.82
37,2751.69
38,2886.82
39,647.88
40,509.03
41,8898.66
42,909.05
43,1871.68
44,10530.96
45,2418.01
46,985.36
47,899.37
48,1186.72
49,2892.21
50,591.14
51,4529.64
52,2832.68
53,7158.83
54,5445.06
55,2255.74
56,9084.45
57,2569.72
58,4495.87
59,3206.31
60,1236.03
61,506.82
62,6956.95
63,1184.28
64,9099.168
65,17604.38
66,882.82
67,12296.58
68,5216.1
69,8962.07
70,483.97
71,660.33
72,892.08
73,1267.04
74,5311.15
75,1826.17
76,8698.62
77,14412.9
78,2819.79
79,6682.03
80,10963.16
81,2117.88
82,13495.24
83,6603.38
84,902.03
85,7932.71
86,1020.02
87,12333.34
88,7636.42
89,14158.44
90,4735.65
91,1320.735
92,1002.75
93,888.85
94,17018.96
95,507.83
96,14430.79
97,14863.47
98,13250.95
99,759.65
100,2643.73
101,751.23
102,649.97
103,465.2
104,1073.84
105,1623.32
106,1309.03
107,814.64
108,1217.7
109,707.72
110,662.93
111,1012.79
112,1820.9
113,1682.77
114,1433.48
115,5190.42
116,5318.04
117,16163.37
118,494.76
119,16423.23
120,1304.01
121,1678.02
122,1132.29
123,488.87
124,714.56
125,1258.32
126,1164.47
127,12829.56
128,5271.04
129,5205.64
130,6384.51
131,3626.06
132,6648.5
133,1065.74
134,3925.55
135,1045.06
136,589.01
137,7156.74
138,553.8
139,4258.89
140,981.35
141,985.73
142,3607.08
143,3655.81
144,771.28
145,6485.52
146,17103.41
147,5314.07
148,2580.62
149,1923.11
150,2621.54
151,1696.69
152,12597.06
153,2798.01
154,702.46
155,15100.86
156,3882.53
157,2868.39
158,3980.31
159,881.05
160,7759.75
161,9941.21
162,646.52
163,697.09
164,5655.49
165,11491.3
166,3425.63
167,4729.43
168,3438.35
169,11695.41
170,683.23
171,1660.78
172,4512.38
173,2051.36
174,6302.69
175,1753.97
176,4365.46
177,3585.76
178,2572.97
179,3425.96
180,3502.62
181,1896.79
182,935.01
183,1645.37
184,685.78
185,4078.39
186,850.08
187,890.09
188,492.555
189,1833.34
190,2326.48
191,732.43
192,855.16
193,6543.315833333334
194,3797.83
195,2558.72
196,632.08
197,13229.39
198,570.14
199,9032.19
200,10766.55
201,6434.01
202,702.6
203,717.13
204,6493.71
205,3564.84
206,637.03
207,3099.28
208,950.7833333333334
209,8900.53
210,2732.68
211,7042.99
212,11344.61
213,405.58
214,1189.5
215,884.92
216,2643.67
217,2662.97
218,956.93
219,1203.94
220,2683.62
221,2145.96
222,9233.7
223,987.51
224,1231.41
225,4580.77
226,3450.78
227,1910.77
228,6363.94
229,1902.89
230,4859.18
231,1500.36
232,1258.68
233,1538.44
234,1015.16
235,8384.78
236,1226.86
237,1007.24
238,4071.24
239,8623.34
240,5919.21
241,978.61
242,15469.38
243,4510.48
244,457.09
245,1078.39
246,2443.53
247,7511.95
248,10674.61
249,5953.68
250,5553.01
251,1470.1
252,2798.63
253,5116.87
254,5043.46
255,1245.9
256,652.73
257,1939.19
258,894.37
259,14776.13
260,6501.52
261,4769.33
262,1795.84
263,3843.92
264,796.82
265,2294.26
266,9249.28
267,1716.96
268,1388.64
269,8807.12
270,7477.25
271,760.92
272,4364.78
273,5197.99
274,518.44
275,946.47
276,6322.34
277,539.11
278,6424.47
279,8182.76
280,1633.1
281,2793.33
282,4033.44
283,9047.28
284,9039.44
285,11166.61
286,5302.71
287,16484.83
288,1715.1
289,6319.86
290,434.5
291,8369.51
292,16853.64
293,916.32
294,7810.38
295,1749.61
296,2267.01
297,721.8
298,467.32
299,5673.92
300,2186.8
301,1193.96
302,3533.92
303,5776.48
304,5906.94
305,8649.88
306,1061.04
307,1020.79
308,1754.14
309,2134.733142857143
310,1807.44
311,489.85
312,7548.12
313,5214.14
314,2428.26
315,10521.29
316,664.47
317,1043.77
318,942.68
319,8156.76
320,4820.18
321,507.95
322,453.73
323,501.96
324,984.78
325,5508.76
326,1681.93
327,1824.58
328,6448.19
329,747.69
330,17518.87
331,2390.32
332,845.73
333,8530.97
334,3261.59
335,1732.49
336,14634.01
337,971.59
338,900.78
339,6357.63
340,607.38
341,1637.61
342,703.0
343,4289.89
344,4205.77
345,1985.47
346,656.06
347,2564.26
348,4849.96
349,897.17
350,3563.29
351,503.09
352,2772.4
353,1996.76
354,602.67
355,1463.96
356,698.94
357,12085.63
358,1530.3
359,538.78
360,1058.43
361,8260.07
362,579.9
363,9129.3
364,3710.8
365,765.4
366,722.64
367,4951.91
368,1717.76
369,621.31
370,612.87
371,703.49
372,6208.97
373,1005.8
374,408.44
375,845.1
376,659.29
377,4226.79
378,2738.56
379,588.07
380,4681.8
381,488.26
382,745.82
383,9293.95
384,1142.82
385,857.86
